"ESTC_Number","Author","Author_dates","Title","Edition","Publication_City","Imprint","Imprint_Date","Regularized_Year","Pagination","Illustrations","Format"
"T108532","Higden, William,","1662 or 3-1715.","A view of the English constitution,","The fifth edition.","London :","printed for S. Keble, R. Gosling, W. Mears, and T. Woodward near Temple-Barr,",1716.,1716,"[8],112;[16],192p. ;","","8⁰."
"T109457","Stone, Edmund,","d. 1768.","A new mathematical dictionary:","","London :","printed for W. Innys, T. Woodward, T. Longman, and M. Senex,","M.DCC.XLIII. [1743]",1743,"xii,[524]p. :","ill. ;","8⁰."
"T110417","Stone, Edmund,","d. 1768.","A new mathematical dictionary:","","London :","printed for J. Senex, W. and J. Innys, J. Osborn, T. Longman, and T. Woodward,","M.DCC.XXVI. [1726]",1726,"[400]p. :","ill. ;","8⁰."
"T111010","Trenchard, John,","1662-1723.","Cato's letters. ...","","London :","printed for W. Wilkins, T. Woodward, J. Walthoe, and J. Peele,","MDCCXXIV. 1723- [1724]",1723,"4v. ;","","12⁰."
"T111554","Desfontaines,","1685-1745.","The history of the revolutions of Poland,","","London :","printed for T. Woodward between the Two Temple Gates in Fleet-Street, and C. Davis in Pater-Noster Row,","M.DCC.XXXVI. [1736]",1736,"[4],231,240-428p.,plate :","map ;","8⁰."
"T111669","Hodgson, James,","1672-1755.","The doctrine of fluxions,","","London :","printed by T. Wood, for the author: sold by W. Mount and T. Page on Tower-Hill: W. Innys and R. Manby in Ludgate-Street: B. Motte and C. Bathurst at the Middle Temple-Gate, Fleet-Street: J. Clarke under the Royal Exchange,, and J. Stagg in Westminster-Hall,","MDCCXXXVI. [1736]",1736,"xvi,452,[12]p. :","ill. ;","4⁰."
"T112746","",NULL,"The laws relating to the highways.","","[London] :","In the Savoy: printed by Eliz. Nutt and R. Gosling, (assigns of Edw. Sayer, Esq;) for W. Mears; and T. Woodward,",1720.,1720,"v,[1],120,[6]p. ;","","12⁰."
"T113181","Brown, William,","17th/18th cent.","A compendious and accurate treatise of fines upon writs of covenant;","The fifth edition, reviewed, corrected, and now ve","[London] :","In the Savoy: printed by Eliz. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for D. Browne, J. Walthoe, Benj. Tooke, W. Mears, T. Ward, T. Bickerton, and T. Woodward,","1718-19.",1718,"2v. ;","","8⁰."
"T113188","",NULL,"Laws relating to the poor,","","[London] :","In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for T. Woodward, at the Half-Moon between the Temple Gates in Fleet-Street,","MDCCXXXIX. [1739]",1739,"[32],284,[20]p. ;","","8⁰."
"T113347","Harris, John,","1667?-1719.","Astronomical dialogues between a gentleman and a lady:","","London :","printed by T. Wood, for Benj. Cowse, at the Rose and Crown in St. Paul's Church-Yard,",1719.,1719,"[2],vi,184p.,plates ;","","8⁰."
"T113386","Watson, William,","1637?-1689.","The clergy-man's law:","The fourth edition, with large additions and alter","[London] :","In the Savoy: printed by Henry Lintot, (assignee of Edward Sayer, Esq;) for D. Midwinter, W. Innys, T. Woodward, A. Ward [and 12 others in London],",1747.,1747,"iv,[8],656,[62]p. ;","","2⁰."
"T113415","Nesbitt, Robert,","1697-1761.","Human osteogeny explained in two lectures,","","London :","printed by T. Wood, and sold by W. Innys and R. Manby, J. Pemberton, E. Symon, J. Noon, and C. Davis,","MDCCXXXVI. [1736]",1736,"xiii,[1],170p.,6 plates ;","","8⁰."
"T113815","Philips, Ambrose,","1674-1749.","The free-Thinker:","The second edition, with compleat indexes.","London :","printed for J. Brindley, in New Bond-Street; R. Montagu, at the General Post-Office, the Corner of Great Queen-Street, near Drury-Lane; Olive Payne, in Round-Court; T. Woodman, in Russel-Street, Covent-Garden; Booksellers,","M.DCC.XXXIII. [1733]",1733,"3v.,plate ;","","12⁰."
"T114796","Perry, Charles,","1698-1780.","A treatise of diseases in general.","","London :","printed for T. Woodward, at the Half-Moon, near Temple-Bar; and C. Davis, in Pater-Noster Row, Printers to the Royal Society,","M.DCC.XLI. [1741]",1741,"2v. ;","","8⁰."
"T115855","Covert, Nicholas.","","The scrivener's guide.","","[London] :","In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer; Esq;) for A. Beltesworth in Pater-Noster Row, W. Mears and F. Clay without Temple Bar, T. Woodward and J. Hooke in Fleetstreet,","MDCCXXIV. [1724]",1724,"2v.([8],992,[32]p.) ;","","8⁰."
"T116597","Hayes, Charles,","1678-1760.","A dissertation on the chronology of the Septuagint.","","London :","printed for T. Woodward, at the Half-Moon, between the Temple-Gates, Fleet-Street,","MDCCXLI. [1741]",1741,"xix,[1],220;80p.,tables ;","","8⁰."
"T117755","Petit, Jean-Louis,","1674-1750.","A treatise of the diseases of the bones;","","London :","printed for T. Woodward, at the Half-Moon, over-against St. Dustan's Church, in Fleet-Street,","M,DCC,XX,VI. [1726]",1726,"xvi,490,[6]p. :","ill. ;","8⁰."
"T119015","Tencin, Claudine Alexandrine Guérin de,","1682-1749.","The siege of Calais by Edward of England.","","London :","printed for T. Woodward, at the Half-Moon between the Temple-Gates in Fleet-Street; and Paul Vaillant, against Southampton-Street in the Strand,","MDCCXL. [1740]",1740,"[12],288p. ;","","12⁰."
"T11965","Rundle, Thomas,","1688?-1743.","A sermon preached at St. George's Church Hanover Square, on Sunday February 17, 1733/4.","","London :","printed for T. Woodward, at the Half-Moon between the two Temple Gates, Fleet-Street; and J. Brindley, in New Bond-Street,","MDCCXXXIV. [1734]",1734,"24p. ;","","4⁰."
"T11977","Ramsay, John,","1664?-1724.","A sermon preach'd to the protestants of Ireland,","","London :","printed by S. Keimer, for T. Woodward, near the Inner Temple Gate, and sold by A. Baldwin in Warwick-Lane,",1714.,1714,"22,[2]p. ;","","4⁰."
"T120178","Ramsay, John,","1664?-1724.","A sermon preach'd to the Protestants of Ireland,","The second edition.","London :","printed by S. Keimer, for T. Woodward, near the Inner Temple Gate, and sold by A. Baldwin in Warwick-Lane,","[1714]",1714,"24p. ;","","8⁰."
"T120690","Roberti, Antonius,","17th cent.","Clavis Homerica,","","Londini :","typis T. Wood, impensis J. Walthoe, D. Midwinter, W. Innys, C. Rivington, A. Ward [and 9 others in London],",1741.,1741,"[4],348,[64],36p. ;","","8⁰."
"T120694","Gravesande, Willem Jacob 's,","1688-1742.","Mathematical elements of physicks, prov'd by experiments: being an introduction to Sir Isaac Newton's philosophy. By Dr. Wm. James 's Gravesande, Professor of Mathematicks and Astronomy in the University of Leyden, and Fellow of the Royal Society of London. Made English, and illustrated with 33 copper-plates. Revis'd and corrected, by Dr. John Keill, F. R. S. Professor of Astronomy in Oxford.","","London :","printed for G. Strahan in Cornhill, Arth. Bettesworth in Pater-Noster-Row, W. Lewis in Covent-Garden, W. Mears without Temple-Bar; and T. Woodward within Temple-Bar,","MDCCXX. [1720]",1720,"[34],181,[1];180p.,plates ;","","8⁰."
"T120759","Boyer, Abel,","1667-1729.","The compleat French master","The thirteenth edition, carefully corrected, and m","London :","printed for D. Midwinter, R. Ware, C. Rivington, A. Ward, J. and P. Knapton, T. Longman, R. Hett, C. Hitch, S. Austen, J. Wood, T. Woodward, and J. Pemberton,","MDCCXLI. [1741]",1741,"416p. :","music ;","8⁰."
"T120916","John,","d. 407.","St. John Chrysostom,","","London :","printed for the translator; and sold by G. Strahan in Cornhill, C. Rivington in St. Paul's Church-Yard, F. Gyles in Holborn, T. Woodman in Covent-Garden, C. King in Westminster-Hall, and N. Mist in Great Carter-Lane,","[1728]",1728,"[32],208p. ;","","8⁰."
"T121199","Ramsay,","1686-1743.","The travels of Cyrus.","The second edition.","London :","printed: and sold by T. Woodward: and J. Peele,","1727-28.",1727,"2v.,plates ;","","8⁰."
"T122021","Fénelon, François de Salignac de La Mothe-,","1651-1715.","Dialogues concerning eloquence","","London :","printed by T. Wood, for J. Walthoe, Jun. over-against the Royal Exchange in Cornhill,","MDCCXXII. [1722]",1722,"xvi,326,[10]p. ;","","8⁰."
"T122076","Ramsay, John,","1664?-1724.","A sermon preach'd to the Protestants of Ireland,","The fifth edition.","London :","printed by S. Keimer, for T. Woodward, near the Inner Temple Gate, and sold by J. Roberts in Warwick-Lane,","[1714]",1714,"24p. ;","","8⁰."
"T122568","Keay, Isaac.","","The practical measurer his pocket-companion:","","London :","printed by T. Wood, for J. Knapton, R. Knaplock, D. Midwinter, B. Sprint, W. Innys, J. Osborne and T. Longman, and R. Robinson,",1730.,1730,"[4],ii,[14],164p. ;","","long 12⁰."
"T122942","Boyer, Abel,","1667-1729.","The history of Queen Anne.","","London :","printed and sold by T. Woodward at the Half Moon between the Two Temple Gates, Fleet-Street; and C. Davis, the Corner of Pater-Noster Row,","MDCCXXXV. [1735]",1735,"[2],xii,722,65,[15]p.,plates :","ill.,port.,maps ;","2⁰."
"T123376","Saurin, Jacques,","1677-1730.","Dissertations, historical, critical, theological and moral, on the most memorable events of the Old and New Testaments:","","London :","printed by T. Wood, for W. Taylor; W. and J. Innys; and J. Osborne,",1723.,1723,"[8],viii,xxxi,[1],656p.,plate ;","","2⁰."
"T124587","Clark, Nicholas,","fl. 1718.","The way of truth:","","London :","printed for W. Churchill, and T. Wood and T. Sharpe,",1717.,1717,"v.1 ([20],408p.) ;","","8⁰."
"T125099","Ludlow, Edmund,","1617?-1692.","Memoirs","","London :","printed for W. Mears, and F. Clay; and J. Hooke, and T. Woodward,","1720-22.",1720,"3v. ;","","8⁰."
"T125337","",NULL,"Poetæ minores Græci,","","Londini :","typis T. Wood, impensis G. Innys & R. Manby, in Area Occidentali D. Pauli, & C. Bathurst, ad Medil Templi Portam in Fleet-Street,","M.DCC.XXXIX. [1739]",1739,"[4],451,[1]p.,plates ;","","8⁰."
"T127389","Atterbury, Francis,","1662-1732.","Sermons and discourses on several subjects and occasions.","The third edition.","London :","printed for T. Woodward in Fleet-Street, and C. Davis, against Gray's Inn, Holbourn,","MDCCXLV. [1745]",1745,"v.3,4 ;","","8⁰."
"T128799","Huygens, Christiaan,","1629-1695.","Christiani Hugenii libellus de ratiociniis in ludo aleæ. Or, the value of all chances in games of fortune; Cards, Dice, Wagers, Lotteries, &c. mathematically demonstrated.","","London :","printed by S. Keimer, for T. Woodward, near the Inner Temple-Gate in Fleetstreet,",1714.,1714,"[12],24p. ;","","8⁰."
"T128902","Boyer, Abel,","1667-1729.","Le compagnon sage & ingenieux, anglois & françois,","Cinquie'me edition exactement revûe & corrigée.","Londres :","imprimé pour D. Midwinter; T. Woodward; & Aaron Ward,",1741.,1741,"xv,254,[3]p. ;","","8⁰."
"T129566","Boulainvilliers, Henri,","1658-1722.","Etat de la France,","","A Londres :","chez T. Wood & S. Palmer,","M.DCC.XXVII. [1727]",1727,"3v.,plate :","map ;","2⁰."
"T130229","Caumont de La Force, Charlotte Rose de,","d. 1724.","The secret history of Burgundy:","","London :","printed for J. Walthoe jun. over-against the Royal-Exchange; T. Woodward, at the Half-Moon against St. Dunstan's Church, Fleetstreet; and sold by T. Warner, at the Black-Boy in Pater-Noster-Row,","M.DCC.XXIII. [1723]",1723,"xii,396p. ;","","12⁰."
"T130234","Greenwood, William,","","The authority, jurisdiction and method of keeping County-Courts,","The ninth edition, very much enlarged, by adding t","[London] :","In the Savoy. Printed by E. and R. Nutt, and R. Gosling (assigns for E. Sayer, Esq;) for J. Walthoe, R. Gosling, W. Innys, J. Osborne and T. Longman, T. Woodward, J. Hooke, F. Clay, J. Stevens, A. Ward, and D. Browne,","MDCCXXX. [1730]",1730,"[2],ii,428,[16]p. ;","","8⁰."
"T130660","Calmet, Augustin,","1672-1757.","A dissertation upon the high-roads of the Duchy of Lorraine,","","London :","printed for T. Woodward in Fleetstreet, C. Davis in Pater-Noster Row; and R. Willock in Cornhill,","MDCCXXIX. [1729]",1729,"[8],lviii,97,[1]p.,plate ;","","8⁰."
"T131232","Euclid.","","Euclid's Elements of geometry,","","London :","printed for T. Woodward; and sold by J. Osborn, at the Golden Ball in Pater-Noster Row,","M.DCC.XLV. [1745]",1745,"[14],397,[1]p.,plates :","ill. ;","8⁰."
"T131239","Fer, Nicolas de,","1646-1720.","A short and easy method to understand geography.","","London :","printed for H. Banks, at the Golden Key, over against St. Dunstan's Church, and T. Woodward, near the inner Temple Gate, both in Fleet-Street,","[1715?]",1715,"[6],v,[13],312p.,plate :","ill. ;","8⁰."
"T131307","Nelson, William,","b. 1653.","The office and authority of a justice of peace:","","[London] :","In the Savoy: printed by H. Lintot, (assignee of Edward Sayer, Esq;) for T. Woodward, J. Walthoe, R. Ware, S. Birt [and 7 others in London],",1745.,1745,"2v. ;","","8⁰."
"T131320","Nelson, William,","b. 1653.","The office and authority of a justice of peace:","","[London] :","In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for R. Gosling, W. Mears, T. Woodward [and 6 others in London],",1736.,1736,"2v. ;","","8⁰."
"T131828","Gordon, Alexander,","1692?-1754?.","Itinerarium septentrionale:","","London :","printed for the author; and sold by G. Strahan; J. Woodman; W. and J. Innys; and T. Woodward,",1726.,1726,"[8],188,[6]p.,plates :","maps ;","2⁰."
"T132564","Boyer, Abel,","1667-1729.","The royal dictionary abridged.","","London :","printed for R. Wilkin, D. Midwinter, A. Bettesworth and C. Hitch, W. Mears, J. Pemberton, W. Innys and R. Manby, R. Robinson, C. Rivington, W. Mount and T. Page, J. and P. Knapton, F. Clay, J. Brotherton, T. Woodward, W. Meadows, R. Ware, B. Motte and C.",1738.,1738,"[1016]p.,plate ;","","8⁰."
"T132904","Cowell, John,","1554-1611.","A law dictionary:","","[London] :","In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for J. Walthoe, B. Lintot, R. Gosling, W. Mears, W. and J. Innys, J. Osborn, T. Woodward, F. Clay, R. Williamson, A Ward and D. Browne,","MDCCXXVII. [1727]",1727,"[488]p. ;","","2⁰."
"T133129","Gordon, Alexander,","1692?-1754?.","Itinerarium septentrionale:","","London :","printed for the author; and sold by G. Strahan, at the Golden-Ball, in Cornhill; J. Woodman, in Russel street, Covent Garden; W and J. Innys, in St. Paul's Church-Yard; and T. Woodward, at the Half Moon, near Temple Bar,","M.DCC.XXVI. [1726]",1726,"[8],188,[6]p.,plates :","map ;","2⁰."
"T133680","Sallust,","86-34 B.C.","The works of Sallust,","","London :","printed for T. Woodward, and J. Peele: and sold by J. Osborn, at the Golden Ball in Pater-Noster Row,","MDCCXLIV. [1744]",1744,"xvi,xxviii,202,xiv,336,[10]p. ;","","4⁰."
"T133832","Aristophanes.","","Aristophanous Kōmōdiai duo Ploutos kai Nephelai.","","Londini :","typis T. Wood; impensis R. Wilkin, D. Midwinter & A. Ward, & B. Motte,","MDCCXXXII. [1732]",1732,"[22],453,[29]p. ;","","8⁰."
"T134064","Pineda, Pedro.","","A new dictionary,","","London :","printed for F. Gyles; T. Woodward; T. Cox and J. Clarke; A. Millar; and P. Vaillant,",1740.,1740,"[772]p. ;","","2⁰."
"T134719","Pilkington, Matthew,","ca. 1700-1774.","Poems on several occasions.","","London :","printed for T. Woodward, at the Half Moon over-against St. Dunstan's Church in Fleetstreet; Charles Davis in Pater-Noster-Row, and W. Bowyer,","MDCCXXXI. [1731]",1731,"[2],xiv,[4],184p. :","ill. ;","8⁰."
"T135491","Solís, Antonio de,","1610-1686.","The history of the conquest of Mexico","","London :","printed for T. Woodward at the Half-Moon, and J. Hooke at the Flower-de-Luce, both against St. Dunstan's Church, in Fleet-Street; and J. Peele at Locke's-Head in Pater-Noster-Row.,","M.DCC.XXIV. [1724]",1724,"[18],163,[1];252;152p.,plates :","port. ;","2⁰."
"T135920","Solis, Antonio de,","1610-1686.","The history of the conquest of Mexico","","London :","printed for T. Woodward, at the Half-Moon between the Two Temple-Gates; and H. Lintot, at the Cross-Keys against St. Dunstan's Church, in Fleet-Street,","MDCCXXXVIII. [1738]",1738,"2v.,plates :","maps,port. ;","8⁰."
"T136245","Ecton, John,","d. 1730.","Liber valorum & decimarum.","","London :","printed for R. Gosling at the Middle Temple Gate; W. Mears at the Lamb without Temple Bar; W. and J. Innys at the West End of St. Paul's; and T. Woodward at the Half Moon in Fleetstreet,","MDCCXXIII. [1723]",1723,"[16],444,[12]p. ;","","8⁰."
"T136436","Caesar, Julius.","","C. Julii Cæsaris quæ exstant,","Editio quarta.","Londini :","typis T. Wood; impensis J. & J. Knapton, D. Midwinter & A. Ward, A. Bettesworth, S. Ballard, G. Innys, J. Osborn & T. Longman, T. Woodward, J. Batley, S. Birt, & B. Motte,","MDCCXXXI. [1731]",1731,"vi,490,[128]p.,plates :","maps ;","8⁰."
"T136595","Temple, William,","1628-1699.","The works of Sir William Temple,","","London :","printed for A. Churchill, T. Goodwin, J. Knapton, R. Smith, B. Tooke, J. Round, J. Tonson, O. Lloyd, W. Meres, T. Woodward and F. Clay,",1720.,1720,"2v.,plate :","port. ;","2⁰."
"T136597","Temple, William,","1628-1699.","The works of Sir William Temple,","","London :","printed for T. Woodward, S. Birt, J. and P. Knapton, J. Clark, T. Wotton [and 7 others in London],",1750.,1750,"2v.,plate :","port. ;","2⁰."
"T136610","Theobald,","1688-1744.","Shakespeare restored:","","London :","printed [by Samuel Aris] for R. Franklin and T. Woodman in Russel-Street, Covent-Garden, Charles Davis in Hatton-Garden, and S. Chapman in Pall-Mall,","M.DCC.XXVI. [1726]",1726,"[6],viii,194p. ;","","4⁰."
"T136734","Caesar, Julius.","","C. Julius Cæsar's Commentaries","The fifth edition. With notes .. and Dionysius Vos","London :","printed by T. Wood, for Cæsar Ward, at the Ship, between the Temple-Gates in Fleet-Street,","MDCCXXXII. [1732]",1732,"xxxii,431,[9]p.,plates :","maps ;","8⁰."
"T136840","Frederick","1712-1786.","Anti-Machiavel:","","London :","printed for T. Woodward, at the Half-Moon, between the Two Temple Gates, Fleet-Street,","MDCCXLI. [1741]",1741,"xxiii,[1],332,[4],p. ;","","8⁰."
"T136993","Jacob, Giles,","1686-1744.","The complete court-keeper:","The fourth edition; with large additions and amend","[London] :","In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Woodward, D. Browne, J. Shuckburgh, T. Osborne and W. Smith, E. Wicksteed,",1741.,1741,"viii,522,[22]p. ;","","8⁰."
"T137041","Terence.","","P. Terentii carthaginensis Afri Comoediæ sex.","Editio prioribus longe emaculatior.","Londini :","typis T. Wood; impensis J. Hodges, in Pontem Londinensem, & Car. Bathurst, ad Medii Templi Portam in Fleet-Street,","M.DCC.XL. [1740]",1740,"[6],cxxxviii,288,[80]p. ;","","8⁰."
"T137996","Jacob, Giles,","1686-1744.","A treatise of laws:","","[London] :","In the Savoy: printed by Eliz. Nutt and R. Gosling, (assigns of Edw. Sayer, Esq;) for T. Woodward, at the Half Moon against St. Dunstan's Church in Fleetstreet,","MDCCXXI. [1721]",1721,"[2],vi,[6],533,[15]p. ;","","8⁰."
"T138186","Theocritus.","","Theokritou ta heuriskomena,","","Londini :","typis T. Wood, impensis Gulielmi Innys, in Area Occidentali D. Pauli,","MDCCXLIII. [1743]",1743,"vi,[2],295,[33]p. ;","","8⁰."
"T138372","Trenchard, John,","1662-1723.","Cato's letters:","The fifth edition, corrected.","London :","printed for T. Woodward, J. Walthoe, J. Peele. T. Longman and T. Shewell, C. Hitch, A. Millar, and J. and J. Rivington,",1748.,1748,"4v. ;","","12⁰."
"T138373","Trenchard, John,","1662-1723.","Cato's letters;","The third edition, carefully corrected.","London :","printed for W. Wilkins, T. Woodward, J. Walthoe, and J. Peele,","MDCXXXIII. [1733]",1733,"4 v. ;","","12⁰."
"T138837","Wilkins, David,","1685-1745.","Concilia Magnae Britanniae et Hiberniae,","","Londini :","sumptibus R. Gosling, in vico, dicto Fleet-Street; F. Gyles, in vico, dicto Holborn; T. Woodward, inter duas Templi portas, Fleet-Street; et C. Davis, in vico, dicto Pater-Noster-Row,","MDCCXXXVII. [1737]",1737,"4v. ;","","2⁰."
"T139717","Piossens,","","Memoirs of the regency of His Royal Highness the late Duke of Orleans,","","London :","printed for R. Montagu at the General Post-Office, the Corner of Great Queen-Street Near-Drury-Lane; J. Brindley in New Bond-Street; Olive Payne in Round-Court in the Strand; and T. Woodman in Russel-Street, Covent-Garden,","MDCCXXXII. [1732]",1732,"[2],xxv,[9],428,[2]p.,plates :","ports. ;","8⁰."
"T140720","Hederich, Benjamin,","1675-1748.","M. Benj. Hederici Lexicon manuale græcum,","Editio altera, priori sexcentis fere vocabulis græ","Londini :","excudit T. Wood, impensis H. Knaplock, D. Midwinter, W. Innys et R. Manby, R. Robinson, A. Ward, J. et P. Knapton, S. Birt, T. Longman, et E. Wicksteed,",1739.,1739,"[1004]p. ;","","4⁰."
"T141016","Patrick, Simon,","1626-1707.","The christian sacrifice.","The sixteenth edition, corrected.","London :","printed by T. Wood, for J. Walthoe, Ja. and Jo. Knapton, R. Knaplock, R. Wilkin, D. Midwinter and A. Ward, A. Bettesworth, J. Downing, R. and J. Bonwicke, R. Robinson, W. Mears, R. Gosling, W. Innys, B. Motte, T. Ward, S. Birt, D. Brown, M. Wyat, and C. Bowyer,","MDCCXXXII. [1732]",1732,"[22],477,[5]p.,plates ;","","12⁰."
"T142580","La Mottraye, Aubry de,","1674?-1743.","A. de la Motraye's travels through Europe, Asia, and into part of Africa;","","London :","printed for the author; and sold by T. Woodward, and C. Davis,",1732.,1732,"3v.,plates :","maps ;","2⁰."
"T143097","Bayle, Pierre,","1647-1706.","The dictionary historical and critical of Mr Peter Bayle.","","London :","printed for J. J. and P. Knapton; D. Midwinter; J. Brotherton; A. Bettesworth and C. Hitch; J. Hazard; J. Tonson; W. Innys and R. Manby; J. Osborne and T. Longman; T. Ward and E. Wicksteed; W. Meadows; T. Woodward; B. Motte; W. Hinchliffe; J. Walthoe, jun. E. Symon; T. Cox; A. Ward; D. Browne; S. Birt; W. Bickerton; T. Astley; S. Austen; L. Gilliver; H. Lintot; H. Whitridge; R. Willock,","MDCCXXXIV. [1734]",1734,"5v. :","port. ;","2⁰."
"T143103","Baxter, William,","1650-1723.","Glossarium antiquitatum Britannicarum,","Editio secunda.","Londini :","impensis T. Woodward, C. Davis, J. Hazard, W. Bickerton, & R. Chandler,","MDCCXXXIII. [1733]",1733,"[8],xii,[4],277,[19]p.,plate :","port. ;","8⁰."
"T143823","Bohun, William.","","Institutio legalis:","","[London] :","In the Savoy: printed by E. and R. Nutt, and R. Gosling (assigns of Edw. Sayer Esq;) for J. Walthoe in the Middle-Temple-Cloysters, B. Motte at the Middle-Temple-Gate; T. Woodward at the Half-Moon, and H. Lintot at the Cross-Keys against St. Dunstan's Church in Fleet-Street,",1732.,1732,"viii,610,[14]p. ;","","8⁰."
"T143871","",NULL,"Sosarme, Re di Media.","","London :","printed for T. Wood in Little-Britain, and are to be sold at the King's Theatre in the Hay-Market,","MDCCXXXII. [1732]",1732,"55,[1]p. ;","","8⁰."
"T144399","Ovid,","43 B.C.-17 or 18 A.D.","P. Ovidii Nasonis Epistolarum Heroidum liber:","","Londini :","excudit T. Wood; impensis J. & J. Knapton, R. Knaplocke, J. & B. Sprint, D. Midwinter, J. & J. Bonwicke, W. & J. Innys, J. Osborne & T. Longman, R. Robinson, B. Motte, and T. Ward,","M.DCC.XXVII. [1727]",1727,"[4],242,[62]p. ;","","8⁰."
"T144953","Cosin, Richard,","1549?-1597.","Regni Angliæ sub imperio serenissimæ piæ & potentissimæ Reginæ Elizabethæ religio et gubernatio ecclesiastica.","","Londini :","typis T. Wood, impensis editoris Gulielmi Wekett, Rectoris Bransgethæ (vulgò Brancepeth) in Episcopatu Dunelmi; & prostant venales apud Gulielmum Innys in Coemeterio divi Pauli, Franciscum Fayram juxta excambium regale, Robertum Gosling in vico vulgo dicto Fleet-Street, & Carolum King in aula Westmonasterij, Bibliopolas,","M.DCC.XXIX. [1729]",1729,"[4],iv,vi,[10],44p.,XVI tables ;","","4⁰."
"T144962","Cooper,","fl. 1737.","The rival widows:","","London :","printed for T. Woodward, at the Half-Moon, between the Temple Gates, in Fleet-Street,",1735.,1735,"vi,[2],124,[4]p. ;","","8⁰."
"T145003","Cicero, Marcus Tullius.","","Tully's offices.","","London :","printed by T. Wood, for Owen Lloyd in the Middle-Temple, and J. Bateman in St. Paul's Church-Yard,","MDCCXXII. [1722]",1722,"[2],viii,265,[25]p. ;","","12⁰."
"T145520","Brandt, Geeraert,","1626-1685.","The history of the Reformation, and other ecclesiastical transactions in, and about, the Low-Countries,","","London :","printed by T. Wood, for Tim. Childe, at the White Hart in St. Paul's Church-Yard,",1719.,1719,"[8],xviii,[20],402p. ;","","8⁰."
"T145588","Ecton, John,","d. 1730.","Liber valorum & decimarum.","","London :","printed for R. Gosling in Fleetstreet; W. Mears at the Lamb without Temple-Bar; W. Innys at the West-End of St. Paul's; and T. Woodward at the Half-Moon in Fleetstreet,","MDCCXXVIII. [1728]",1728,"[2],xiv,[32],475,[13]p. ;","","8⁰."
"T145735","Dionysius,","","Tēs palai kai tēs nyn oikoumenēs periēgēsis,","Editio quinta.","Londini :","typis T. Wood, impensis H. Knaplock, D. Midwinter, R. Robinson, W. Innys & R. Manby, C. Rivington, A. Ward, J. & P. Knapton, & T. Longman,",1738.,1738,"[8],124,[8]p.,plates :","maps ;","8⁰."
"T145944","Geoffroy, Étienne François,","1672-1731.","A treatise of the fossil, vegetable, and animal substances, that are made use of in physick.","","London :","printed for W. Innys and R. Manby; T. Woodward; and C. Davis,",1736.,1736,"xxiv,387,[13]p. ;","","8⁰."
"T145994","Temple, William,","1628-1699.","The works of Sir William Temple,","","London :","printed for J. Round, R. Gosling, T. Woodward, S. Birt, J. and P. Knapton, J. Clark, T. Wotton, [and 5 others in London],",1740.,1740,"2v.,plate :","port. ;","2⁰."
"T146426","Euclid.","","Euclid's elements","The sixth edition. ..","London :","printed for T. Woodward; and sold by J. Osborn,",1749.,1749,"[14],397,[1]p.,plates ;","","8⁰."
"T146488","Brandt, Geeraert,","1626-1685.","The history of the Reformation and other ecclesiastical transactions in and about the Low-Countries,","","London :","printed by T. Wood, for Timothy Childe, at the White Hart at the West End of St. Paul's Church-Yard,","MDCCXX. [1720]",1720,"4v.,plate ;","","2⁰."
"T146489","Brandt, Geeraert,","1626-1685.","The history of the Reformation and other ecclesiastical transactions in and about the Low-Countries,","","London :","printed by T. Wood, for Timothy Childe,","1720-23.",1720,"4v.,plate ;","","2⁰."
"T146738","Hales, Stephen,","1677-1761.","Statical essays:","The third edition, with amendments.","London :","printed for W. Innys and R. Manby; T. Woodward; and J. Peele,",1738.,1738,"[6],x,[4],376p.,plates ;","","8⁰."
"T146739","Hales, Stephen,","1677-1761.","Statical essays:","","London :","printed for W. Innys and R. Manby; and T. Woodward,",1733.,1733,"xxii,[26],361,[23]p. ;","","8⁰."
"T147176","Catrou, François,","1659-1737.","The roman history:","","London :","printed by J. Bettenham, for T. Woodward at the Half-Moon over-against St. Dunstan's Church in Fleetstreet, and J. Peele at Locke's Head in Pater-Noster Row,","M.DCC.XXVIII. [1728]",1728,"6v.,plates :","maps ;","2⁰."
"T147278","Rich, John,","1682?-1761.","A dramatick entertainment, called the Necromancer;","","London :","printed and sold by T. Wood in Little-Britain, and at the Theatre Royal in Lincoln's-Inn-Fields,","[1731]",1731,"23,[1]p. ;","","8⁰."
"T147426","Hale, Matthew,","1609-1676.","Pleas of the crown:","","London :","printed by J. N. Assignee of Edw. Sayer; for D. Brown, M. Wotton, W. Mears; J. Brown and T. Woodward,",1716.,1716,"[22],272,[8];143,[1];[2],121[i.e.131],[1]p. ;","","8⁰."
