"ESTC_Number","Author","Author_dates","Title","Edition","Publication_City","Imprint","Imprint_Date","Regularized_Year","Pagination","Illustrations","Format","Citations"
"T112584","",NULL,"A treatise of the first principles of laws in general:","","London :","printed by W. B. for Richard Sare at Grays-Inn-Gate in Holborn,",1705.,1705,"[4],144p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers (appendixes), D70"
"T112585","Wood, Thomas,","1661-1722.","A new institute of the imperial or civil law.","","London :","printed by W. B. for Richard Sare,",1712.,1712,"[2],xi,[3],414,[8];[4],144p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 116"
"T112596","Wood, Thomas,","1661-1722.","A new institute of the imperial or civil law.","","London :","printed by W. B. for Richard Sare, at Gray's-Inn Gate in Holbourn,",1704.,1704,"[4],xvii,[7],361,[11]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers (appendixes), D53"
"T112601","Lommius, Jodocus,","ca. 1500-ca.1564.","De curandis febribus continuis, liber.","","Londini :","impensis Gul. & J. Innys, ad Insignia Principis in Coemeterio D. Pauli,","MDCCXVIII. [1718]",1718,"[32],208,[8]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 457"
"T112661","Josephus, Flavius.","","The genuine works of Flavius Josephus,","","London :","printed by W. Bowyer for the author: and are to be sold by John Whiston,",1737.,1737,"[4],cvi,*cv-*cviii,[1],cviii-clii,1021,[83]p.,plates :","ill.maps ;","2⁰.","Maslen & Lancaster. Bowyer ledgers, 2402"
"T112665","Josephus, Flavius.","","The works of Flavius Josephus:","The fourth edition, ..","London :","printed for the executors of R. Sare: and sold by J. Darby, A. Bettesworth, F. Fayram, J. Pemberton, C. Rivington, J. Hooke, F. Clay, J. Batley, E. Symon, and R. Williamson,","MDCCXXV. [1725]",1725,"[4],xviii,917,[27]p.,plates :","ports.,maps ;","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1064"
"T112764","Wicquefort, Abraham de,","1606-1682.","The embassador and his functions:","","London :","printed for Bernard Lintott between the Temple-Gates in Fleetstreet: and sold by Charles King in Westminster-Hall, Edward Fleetwood at the Foot of the Parliament-Stair, and William Taylor at the Ship in Pater-Noster-Row,",1716.,1716,"[12],570,[28]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 291"
"T112765","Wilkinson, Richard,","fl. 1703.","The quaker's wedding. A comedy. As it is acted at the Theatre-Royal by His Majesty's servants. Written by Richard Wilkinson, Gent.","","London :","printed for Bernard Lintot, at the Gross-Keys between the Temple-Gates,",1723.,1723,"[12],72p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 930"
"T112779","Calmet, Augustin,","1672-1757.","An historical, critical, geographical, chronological, and etymological dictionary of the Holy Bible, in three volumes.","","London :","printed for J. J. and P. Knapton, D. Midwinter and A. Ward, A. Bettesworth and C. Hitch, J. Pemberton, J. Osborn and T. Longman, C. Rivington, F. Clay [and 3 others in London],",1732.,1732,"3v.,plates :","maps ;","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1839"
"T112817","Hutchinson, John,","1674-1737.","Moses's - sine principio:","","London :","printed by W. Bowyer,","in the Year MDCCXXIX. [1729]",1729,"[8],ccxcii,228p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1467"
"T112896","Locke, John,","1632-1704.","Two treatises of government:","The fourth edition.","London :","printed for John Churchill at the Black Swan in Pater-Noster-Row,",1713.,1713,"379,[5]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 154"
"T112935","Turpin, Richard,","1706-1739.","The trial of the notorious highwayman Richard Turpin,","","York :","printed by Ward and Chandler; and sold at their shop without Temple-Bar, London; and in Coney-Street, York,",1739.,1739,"vii,[2],4-25,[1]p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2700"
"T112945","Wheatly, Charles,","1686-1742.","A rational illustration of the Book of Common Prayer,","","London :","printed for A. Bettesworth in Paternoster-Row, W. and J. Innys, and C. Rivington in St. Paul's Church-Yard,","MDCC.XX. [1720]",1720,"xxvi,548,[12]p.,plate ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 616"
"T113008","Naudé, Gabriel,","1600-1653.","Political considerations upon refin'd politicks,","","London :","printed for H. Clements, at the Half-Moon in St. Paul's Church-Yard,",1711.,1711,"[8],200p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 65"
"T113030","Le Courayer, Pierre François,","1681-1776.","A defence of the validity of the English ordinations,","","London :","printed for W. and J. Innys, J. Osborne, and C. Rivington,",1725.,1725,"[22],405,[3]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1092"
"T113265","Harris, Walter,","1647-1732.","The great and wonderful works of God humbly represented: and the just and equal distributions of providence demonstrated. With an appendix concerning St. Paul. By an ancient doctor of physick.","","London :","printed and sold by James Roberts at the Oxford-Arms in Warwick-Lane,",1727.,1727,"viii,102,[6]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1275"
"T113611","Petit, Pierre,","1617-1687.","Petri Petiti medici Parisiensis in tres priores Aretæi Cappadocis libros Commentarii,","","Londini :","typis Gulielmi Bowyer, impensis Johannis Pellet, ad insigne Capitis St. Evremont, in Foeni Foro apud Westm. [et Hagæ-Comitum apud J. Swart, et Lugduni-Batavorum, apud Fratres Verbeck],","MDCCXXVI. [1726]",1726,"xxiv,128,[22]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1264"
"T113751","Hamilton, Anthony,","1645?-1719.","Memoirs of the life of Count de Grammont: containing, in particular, the amorous intrigues of the court of England in the reign of King Charles II. Translated from the French by Mr. Boyer.","","London :","printed, and are to be sold by J. Round in Exchange-Alley, W. Taylor at the Ship in Pater-Noster-Row, J. Brown near Temple-Bar, W. Lewis in Russel-Street, Covent-Garden, and J. Graves next White's Chocolate-House in St. James's-Street,",1714.,1714,"[4],356p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 191"
"T113800","Bedford, Hilkiah,","1663-1724.","A defence of the Church of England from priestcraft, in vindication of the contested clause of the XXth article. Extracted out of the Vindication of the Church of England from the aspersions of a late libel, entituled, Priestcraft in perfection, &c. By the author of the Vindication.","","London :","printed for R. Wilkin at the King's Head in St. Paul's Church-Yard,",1711.,1711,"48p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 45"
"T113832","Feyens, Thomas,","1567-1631.","Thomæ Fieni, Belgii & Bavariæ ducum medici cubicularii, Et In Academia Lovaniensi Medicinae Professoris Primarii, Libri chirurgici duodecim, de præcipuis artis chirurgicæ controversiis,","Editio secunda.","Londini :","impensis C. Davis, in vico vulgo dicto Pater-Noster-Row,","MDCCXXXIII. [1733]",1733,"[12],32,41-180p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1865"
"T113846","",NULL,"Symbola heroica:","","London :","printed for Joel Stephens at the Hand and Star between the Temple-Gates in Fleet-Street, and Richard Wellington at the Dolphin and Crown the Corner of Palsgrave-Head-Court without Temple-Bar,","MDCCXXXVI. [1736]",1736,"[2],130,[2]p. ;","","16⁰.","Maslen & Lancaster. Bowyer ledgers, 2224,Maslen & Lancaster. Bowyer ledgers, 2218"
"T113898","Boyer, Abel,","1667-1729.","The compleat French-Master,","","London :","printed for Richard Sare near Grays-Inn Gate in Holbourn, John Nicholson at the King's Arms, and Samuel Ballard at the Blue-Ball in Little-Britain,",1717.,1717,"[4],412p. :","music ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 410"
"T113904","La Fare, Charles-Auguste,","1644-1712.","Memoirs and reflections upon the principal passages of the reign of Lewis the XIVth: and the character of persons chiefly concern'd therein. By Monsieur L. M. D. L. F. Translated from the French.","","London :","printed for Mary Kettilby, and sold by Richard Wilkin at the King's-Head in St. Paul's Church-Yard,",1719.,1719,"[12],256p. ;","","12⁰ & 8⁰","Maslen & Lancaster. Bowyer ledgers, 529"
"T114267","Piazza, Girolamo Bartolomeo.","","Relation succincte & veritable de l'Inquisition et de ses procedures,","","Londres :","imprimè par Guillaume Bowyer,",1722.,1722,"189,[3]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 901"
"T114317","Stanhope, George,","1660-1728.","A paraphrase and comment upon the Epistles and Gospels,","The fourth edition.","London :","printed by M.J. for J. Walthoe in the Middle-Temple-Cloysters; James and John Knapton in St. Paul's-Church-Yard; A. Bettesworth in Pater-Noster-Row; Jos. Hazard against Stationers-Hall; Sam. Birt in Avemary-Lane; and Sam. Harding in St. Martin's-Lane,",1726.,1726,"4v.,plate :","port. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1245"
"T114420","Newton, James,","fl. 1722.","Alexis's paradise: or, A trip to the garden of love at Vaux-Hall.","The sixth edition.","London :","printed for T. Dormer in Fleet-street,","[1732]",1732,"68 p.,plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1835"
"T114501","",NULL,"An address to Sir Joseph Jekyll, Lord Chief Justice of Chester","","[London? :","s.n.,","1711?]",1711,"1 sheet ([1] p.) ;","","1/2⁰.","Maslen & Lancaster. Bowyer ledgers, 31"
"T114598","Layer, Christopher,","1683-1723.","The whole proceeding upon the arraignment, tryal, conviction and attainder of Christopher Layer, Esq;","","London :","printed by S. Buckley in Amen-Corner,","1722 [i.e.1723]",1723,"[4],152p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 921"
"T114600","Trueman, John.","","An examination and resolution of the two questions following, viz. First, whether unfreemen can vote in our wardmote elections. Secondly, whether freemen paying to one or more scots, and not to all, shall be qualified to vote in those elections. Humble Address'd to Sir William Thompson, Knight, Recorder of the City of London, and to John Lingard, Esq; Common Serjeant of the same. By a citizen.","","London :","printed for James Roberts, at the Oxford-Arms in Warwick-Lane,",1724.,1724,"18p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1009"
"T114640","Heister, Lorenz,","1683-1758.","A general system of surgery","","London :","printed for W. Innys at the West-End of St. Paul's; C. Davis in Holborn; J. Clark under the Royal-Exchange; R. Manby on Ludgate-Hill; and J. Whiston in Fleet-Street,","MDCCXLIII. [1743]",1743,"2v.,plates ;","","4⁰.","Maslen and Lancaster. Bowyer ledgers, 3055"
"T114814","Howel, Laurence,","1664?-1720.","Synopsis canonum ecclesiæ Latinæ:","","Londini :","typis Gul. Bowyer, & prostant venales, apud R. Sare, M. Wotton, B. Tooke, B. Lintott, R. Knaplock, J. Wyat, R. Wilkin, R. & J. Bonwicke, H. Clements, J. Nicholson, G. Sawbridge, R. Parker, & G. Strahan, Bibliopolas,","M.DCC.X. [1710]",1710,"[4],liv,191,196-376,381-446,[10]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 5"
"T115122","Stebbing, Henry,","1687-1763.","A brief account of prayer,","","London :","printed for Fletcher Gyles, over-against Grays-Inn, in Holborn,","MDCCXXXIX. [1739]",1739,"xiii,[3],64,81-240p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2731"
"T115154","Curtius Rufus, Quintus.","","Quintus Curtius his History of the wars of Alexander.","","London :","printed by W. B. for Bernard Lintott, at the Cross - Keys between the two Temple Gates in Fleet-Street,",1714.,1714,"2v.,plate :","map ;","12⁰.","Maslen & Lancaster. Bowyer ledgers, 208"
"T115482","",NULL,"Epigrammatum delectus ex omnibus tum veteribus, tum recentioribus poetis accuratè decerptus:","","Londini :","typis Gul. Bowyer, impensis Gul. Innys, ad Insignia Principis in Coemeterio D. Pauli,","MDCCXXIV. [1724]",1724,"[48],311,[1];[4],20p. :","ill. ;","12⁰.","Maslen & Lancaster. Bowyer ledgers, 992"
"T115539","Moss, Robert,","1666-1729.","Sermons and discourses on practical subjects:","The second edition corrected.","London :","printed by W. B. for Richard Williamson near Gray's-Inn Gate, Holbourn, and William Thurlbourn at Cambridge,","MDCCXXXVI. [1736]",1736,"4v. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2257"
"T115565","Moss, Robert,","1666-1729.","A sermon preach'd before the Queen at St. James's Chapel, on Wednesday, March 15, 1709/10.","","London :","printed for Richard Sare at Gray's-Inn Gate in Holborn; and Jacob Tonson at Gray's-Inn Gate next Grays-Inn Lane,",1710.,1710,"23,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 6"
"T115711","Locke, John,","1632-1704.","The works of John Locke Esq;","The third edition.","London :","printed for Arthur Bettesworth; Edmund Parker; John Pemberton; and Edward Symon,",1727.,1727,"3v.,plate ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1274"
"T115813","Collier, Jeremy,","1650-1726.","Several discourses upon practical subjects.","","London :","printed by W. Bowyer, for the author,","MDCCXXVI. [1726]",1726,"[4],442p,plate :","port. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1171"
"T115814","Collier, Jeremy,","1650-1726.","Several discourses upon practical subjects.","","London :","printed by W. Bowyer, for the author,","MDCCXXV. [1725]",1725,"[4],412p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1142"
"T115974","Twells, Leonard,","1683 or 4-1742.","A critical examination of the late new text and version of the New Testament in Greek and English. Part the third and last.","","London :","printed for R. Gosling,",1732.,1732,"vi,[6],187,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1730"
"T115986","Twells, Leonard,","1683 or 4-1742.","A critical examination of the late new text and version of the New Testament in Greek and English. Part II.","","London :","printed for R. Gosling,",1731.,1731,"[8],168p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1665"
"T116148","S. L.","","Windsor tales: or, the amours of a gentleman and lady ; with some court intrigues: a genuine history.","","London :","printed for S.C. and sold by H. Cooke, near Water-Lane, Fleet-Street, E. Lynn, over-against Deveraux-Court, without Temple-Bar,","[1730?]",1730,"[4],70p. :","ill. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1554"
"T116158","Delaune, William,","1659-1728.","Twelve sermons upon several subjects and occasions.","","London :","printed for R. Williamson,",1728.,1728,"[16],287,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1346"
"T116173","Maittaire, Michael,","1667-1747.","Carmen epinicium augustissimae Russorum Imperatrici sacrum.","","[London,","s.n.,","1737]",1737,"4p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 2431"
"T116179","",NULL,"A paraphrase on some select psalms.","","London :","printed for Bernard Lintot between the Temple Gates in Fleetstreet,","MDCCXXII. [1722]",1722,"[20],112,[2]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 849"
"T116299","Johnson, Thomas,","fl. 1718.","A collection of nouns and verbs.","The second edition.","London :","printed for Bernard Lintot at the Cross-Keys between the Temple Gates in Fleetstreet,","[1723]",1723,"[4],96p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 876"
"T116335","St. Amand, George.","","An historical essay on the legislative power of England.","","London :","printed for Tho. Woodward, at the Half Moon over-against St. Dunstan's Church in Fleet-Street,","MDCCXXV. [1725]",1725,"[16],197,[23]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1124"
"T116444","Waterland, Daniel,","1683-1740.","A supplement to the case of Arian subscription considered.","","London :","printed for W. and J. Innys, at the Prince's-Arms at the West-End of St. Paul's,","MDCCXXII. [1722]",1722,"76,[2]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 806"
"T116479","Desroches de Parthenay, Jean-Baptiste,","1690-1766.","The history of Poland under Augustus II.","","London :","printed for W. Lewis in Russel-Street, Covent-Garden, and F. Cogan at the Middle-Temple-Gate, Fleet-Street,","MDCCXXXIV. [1734]",1734,"2v. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1987"
"T116568","Grey, Richard,","1694-1771.","Memoria technica:","The third edition, corrected and improved.","London :","printed for John Stagg in Westminster Hall; and sold by A. Bettesworth and C. Hitch in Pater Noster Row, F. Clay, and D. Brown without Temple Bar,",1737.,1737,"[4],xvi,[8],159,[29]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2394"
"T116580","Pope, Alexander,","1688-1744.","The Dunciad:","The second edition.","London :","printed for T. Cooper,",1742.,1742,"[4],44p. ;","","4⁰.","Maslen and Lancaster. Bowyer ledgers, 3013"
"T116597","Hayes, Charles,","1678-1760.","A dissertation on the chronology of the Septuagint.","","London :","printed for T. Woodward, at the Half-Moon, between the Temple-Gates, Fleet-Street,","MDCCXLI. [1741]",1741,"xix,[1],220;80p.,tables ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2906"
"T11679","Shakespeare, William,","1564-1616.","Pericles, Prince of Tyre.","","London :","printed [in part by William Bowyer] for J. Tonson, and the rest of the proprietors; and sold by the booksellers of London and Westminster,",1734.,1734,"67,[1]p.,plate ;","","12⁰ and 8⁰.","Maslen & Lancaster. Bowyer ledgers, 2101"
"T117020","Dameto, Juan Bautista,","1554-1633.","The ancient and modern history of the Balearick Islands;","","London :","printed for William and John Innys, at the Prince's Arms at the west end of St. Paul's Church-Yard,",1719.,1719,"[16],336,[18]p.,plates :","maps ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 572"
"T117024","Brett, Thomas,","1667-1744.","A general history of the world,","","London :","printed for Fletcher Gyles, near Middle-Row in Holbourn,","MDCCXXXII. [1732]",1732,"xvi,320p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1732"
"T117043","Aristaenetus.","","Letters of love and gallantry.","","London :","printed for Bernard Lintot,","[1716]",1716,"[12],120p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 358"
"T117075","Wood, Thomas,","1661-1722.","A new institute of the imperial or, civil law.","","London :","printed by W.B. for Richard Sare,",1721.,1721,"[2],144;xvi,[8],414,[10]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 681"
"T117076","",NULL,"A common place-book to the Holy Bible:","The fourth edition; improved with twelve intire ad","London :","printed for A. Bettesworth and C. Hitch, in Paternoster-Row; J. and J. Bonwicke, in St. Paul's Church-Yard; R. Ware, in Amen-Corner; A. Ward, in Little-Britain; S. Birt, in Ave-Maria-Lane; T. Osborn, in Grays-Inn; and E. Wicksted, in Newgate-Street,","MDCCXXXVIII. [1738]",1738,"[16],309,[11]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 2569"
"T117222","",NULL,"The vocal miscellany.","The third edition, with many alterations and large","London :","printed for J. and J. Hazard, at the Bible against Stationer's-Hall; C. Ward and R. Chandler, at the Ship just without Temple-Bar, and sold at their shops in Coney-Street, York, and at Scarborough Spaw,","MDCCXXXVIII. [1738]",1738,"2v.,plates ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2552"
"T11726","",NULL,"The charge of the Right Reverend father in God Robert Lord Bishop of Norwich,","","London :","printed for Fletcher Gyles over-against Gray's-Inn-Gate in Holborn,","MDCCXXXVI. [1736]",1736,"22p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 2238"
"T117280","Grey, Richard,","1694-1771.","Memoria technica:","The second edition corrected and improv'd.","London :","printed for Charles King in Westminster-Hall; and sold by A. Bettesworth and C. Hitch in Paternoster-Row, and F. Clay without Temple-Bar,",1732.,1732,"[4],xvi,[8],159,[29]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1824"
"T117329","Richardson, Samuel,","1689-1761.","Pamela:","","A Londres :","chez Jean Osborne, Libraire, a la Boule D'Or, dans Pater-Noster-Row, pres de S. Paul,","MDCCXLI. [1741]",1741,"2v. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 2963"
"T117448","",NULL,"The sacramental part of the Eucharist explain'd,","","London :","printed for W. Innys and R. Manby, at the West End of St. Paul's,","MDCCXXXIX. [1739]",1739,"78,[2]p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2732"
"T117482","Broxholme, Noel,","1689?-1748.","Oratio anniversaria Harvæana","","Londini :","impensis Gulielmi Lewis,",1731.,1731,"[4],12p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1719"
"T117484","Juncker, Johann,","1679-1759.","Dissertationes duae de viribus medicatis olei animalis in epilepsia, aliisque affectibus convulsivis.","","Londini :","typis Gulielmi Bowyer, veneunt apud G. Innys in area Occidentali D. Pauli, & J. Roberts in vico vulgo dicto Warwick-Lane. MDCCXXXII. (pret. 1 s. 6 d),","[1732]",1732,"[4],40p.,plates ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1833"
"T117566","Hawys, John.","","Oratio anniversaria in theatro Collegii Regalis medicorum Londinensium habita, die xviii Octobris, anno 1721. In laudem medicinae et medicorum illustrium, aliorumque ejusdem collegii commodis faventium.","","Londini :","typis Gulielmi Bowyer,","MDCCXXII. [1722]",1722,"[4],20p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 807"
"T117568","Pellet, Thomas.","","Oratio anniversaria habita in amphitheatro Collegii Regalis medicorum Lond. In laudem benemeritorum & benemerentium de medicina, die XIX⁰ Octobris, anno 1719.","","Londini :","apud S. Buckley in Amen-Corner,","[1719]",1719,"[4],11,[1]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 603"
"T117631","Boyer, Abel,","1667-1729.","The compleat French-master,","The eighth edition, .. together with a new preface","London :","printed for Richard Sare; and Samuel Ballard,",1721.,1721,"412[i.e.416]p. :","music ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 777"
"T117658","Schrevel, Cornelis,","1608-1644.","Lexicon manuale Græco-Latinum, & Latino-Græcum","Editio nona prioribus multo emendatior.","Londini :","typis G. Bowyer, impensis J. Churchill,",1717.,1717,"[6],642;176p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 381"
"T117970","",NULL,"The vocal miscellany.","The second edition corrected, with additions.","London :","printed for Joseph Hazard, at the Bible against Stationers-Hall; Charles Corbett, at Addison's-Head, without Temple-Bar; Caesar Ward and Richard Chandler, at the Ship, between the Temple-Gates, in Fleet-Street,","M.DCC.XXXIV. [1734]",1734,"2v.,plates ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2110"
"T118274","Santorio, Santorio,","1561-1636.","Sanctorii sanctorii de statica medicina aphorismorum","","Londini :","typis Gul. Bowyer, impensis Gul. Innys, ad Insignia Principis in Coemeterio D. Pauli,","MDCCXVI. [1716]",1716,"[12],168p.,plate ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 279"
"T118325","Boyer, Abel,","1667-1729.","The compleat French-Master,","The tenth edition, carefully corrected, and much i","London :","printed for Samuel Ballard, at the Blue Ball, in Little-Britain; and Richard Williamson, near Gray's-Inn-Gate, in Holborn,","MDCCXXIX. [1729]",1729,"416p. :","music ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1458"
"T118503","Bridges,","fl. 1737-1739.","An hymn to the Supreme Being. With a preface, on the general design of it. By Mr. Bridges.","","London :","printed for T. Cooper, at the Globe in Pater-noster-row,",1739.,1739,"[6],13,[1]p. ;","","2⁰.","Maslen and Lancaster. Bowyer ledgers, 2696"
"T118572","Fauconberg, Thomas Belasyse,","1699-1744.","Thomas Fowler Lord Visct Fauconberg, and Katherine his Viscountess, appellants. Richard Fitzgerald and Rebecca his wife, Walter Lord Aston, and Cha. Fowler, respondents. The appellant's case.","","[London,","","1731]",1731,"3,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1639"
"T118573","Booth, George,","","William Hodgson, Gent. appellant. The Right Honourable George Earl of Warrington, in his own right and as administrator of his late brother the Honourable Henry Booth, Esq; deceased, respondent. The said Earl, appellant. And the said William Hodgson and Thomas Warren administrator of Thomas Warren deceased, respondents. The case of the Earl of Warrington on both the appeals.","","[London,","s.n.,","1731]",1731,"3,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1629"
"T118581","Foord, Ellen,","b. ca. 1720.","William Foord, Esq; appellant. Ellen Foord an infant by William Jolly, Esq: her Guardian, and the said William Jolly, respondents. The respondents case.","","[London,","","1731]",1731,"3,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1625"
"T118836","Watts, Isaac,","1674-1748.","A guide to prayer:","The second edition corrected.","London :","printed for Emanuel Matthews at the Bible in Pater-Noster-Row,",1716.,1716,"[10],156,[2]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 315"
"T118876","",NULL,"Books printed for Caesar Ward, and Richard Chandler,","","[London,","","1734?]",1734,"[12]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 1945"
"T118877","Loughton, William.","","A practical grammar of the English tongue:","","London :","printed for Caesar Ward and Richard Chandler, at the Ship between the Temple Gates in Fleetstreet. And Sold at their Shop at Scarbrough,","MDCCXXXIV. [1734]",1734,"[4],xii,159,[1]p. ;","","12⁰ & 8⁰.","Maslen & Lancaster. Bowyer ledgers, 2044"
"T118915","Pöllnitz, Karl Ludwig,","1692-1775.","Les amusemens de Spa:","","London :","printed for Ward and Chandler, at the Ship without Temple-Bar, and sold at their shops at the Ship in Coney-Street, York; and the corner of the Long-Room-Street, at Scarborough Spaw,","MDCCXXXVII. [1737]",1737,"2v. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2319"
"T119015","Tencin, Claudine Alexandrine Guérin de,","1682-1749.","The siege of Calais by Edward of England.","","London :","printed for T. Woodward, at the Half-Moon between the Temple-Gates in Fleet-Street; and Paul Vaillant, against Southampton-Street in the Strand,","MDCCXL. [1740]",1740,"[12],288p. ;","","12⁰.","Maslen and Lancaster. Bowyer ledgers, 2817."
"T119193","Buchan, David Erskine,","1672-1745.","Robert Blackwood, Esq; claiming as a creditor of Sir George Hamilton, deceased. Appellant. The Right Hon. David Earl of Buchan, Colonel John Erskine, Mr. Charles Erskine advocate, and Major William Erskine, respondents ... Case of the respondents in the original appeal, and the appellants in cross appeal.","","[London,","","1731]",1731,"4p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1669"
"T119201","Gordon, Lodovick.","","Sir William Gordon, Bar. appellant. Lodovick Gordon, merchant in Elgin, respondent. The respondent's case.","","[London,","","1731]",1731,"3,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1658"
"T11973","Reeves, William,","1667-1726.","The nature of truth and falshood; with some motives to the practice of mutual sincerity.","","London :","printed by W.B. for Richard Sare at Grays-Inn-Gate in Holbourn,",1712.,1712,"28p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 142"
"T119856","Wright, S.","1683-1746.","A little treatise of being born again:","The second edition, corrected.","London :","printed for Emanuel Matthews, at the Bible in Pater-Noster-Row; and John Clark, at the Bible and Crown in Cheapside, near the Poultrey,",1719.,1719,"x,[10],147,[1]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 500"
"T11993","Mangey, Thomas,","1688-1755.","The providential sufferings of good men.","","London :","printed for W. and J. Innys at the Prince's Arms at the West End of St. Paul's,",1720.,1720,"29,[3]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 615"
"T119933","Loughton, William.","","A practical grammar of the English tongue: or, a rational and easy introduction to speaking and writing English correctly and properly","The second edition with improvements.","London :","printed for Ward and Chandler, at the Ship between the Temple Gates in Fleetstreet: and sold at their shop at Scarbrough,","MDCCXXXV. [1735]",1735,"[4],viii,180p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2172"
"T119942","Loughton, William.","","A practical grammar of the English tongue: or, A rational and easy introduction to speaking and writing English correctly and properly;","","London :","printed for and sold by C. Ward and R. Chandler, booksellers at the Ship without Temple Bar, and at their shops in Coney-street in York, and at Scarborough Spaw,",1740.,1740,"[16], 194, [6]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 2659"
